Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Light_conditions,Weather_conditions,Type_of_collision,Cause_of_accident,Location,Accident_severity
20:30:00,Friday,18-30,Male,Above high school,Employee,1-2yr,Double carriageway (median),Darkness - lights lit,Normal,Collision with roadside-parked vehicles,No priority to vehicle,"ECR, Chennai",Slight Injury
20:30:00,Friday,Over 51,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Darkness - lights lit,Normal,Collision with animals,Other,"GST Road, Chennai",Slight Injury
20:30:00,Friday,Over 51,Male,,Unknown,,other,Darkness - lights lit,Normal,Collision with animals,Driving carelessly,"Alandur, Chennai",Slight Injury
16:30:00,Sunday,Over 51,Male,High school,Employee,Below 1yr,other,Daylight,Normal,Collision with pedestrians,Changing lane to the left,"Rajiv Gandhi Salai, Chennai",Slight Injury
16:30:00,Sunday,31-50,Male,High school,Employee,Below 1yr,other,Daylight,Normal,Vehicle with vehicle collision,Driving carelessly,"Poonamallee High Road, Chennai",Slight Injury
21:50:00,Sunday,31-50,Male,,Unknown,,other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the left,"Porur, Chennai",Slight Injury
21:50:00,Sunday,18-30,Male,High school,Employee,2-5yr,Undivided Two way,Darkness - lights lit,Normal,Collision with pedestrians,No priority to vehicle,"Velachery Main Road, Chennai",Slight Injury
09:12:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,No distancing,"OMR, Chennai",Slight Injury
09:12:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Collision with roadside objects,Changing lane to the right,"Chromepet, Chennai",Slight Injury
14:40:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Changing lane to the right,"Outer Ring Road, Chennai",Serious Injury
10:36:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Driving at high speed,"Old Mahabalipuram Road, Chennai",Slight Injury
10:36:00,Friday,31-50,Male,Unknown,Employee,Below 1yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,No distancing,"Tambaram, Chennai",Slight Injury
18:19:00,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Daylight,Normal,Rollover,Changing lane to the right,"ECR, Chennai",Slight Injury
18:19:00,Monday,18-30,Male,High school,Employee,2-5yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Changing lane to the left,"GST Road, Chennai",Slight Injury
19:12:00,Tuesday,18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Getting off the vehicle improperly,"Alandur, Chennai",Slight Injury
19:12:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Other,"Rajiv Gandhi Salai, Chennai",Slight Injury
11:38:00,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Double carriageway (median),Daylight,Normal,Collision with pedestrians,Other,"Poonamallee High Road, Chennai",Slight Injury
11:38:00,Saturday,31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,No distancing,"Porur, Chennai",Slight Injury
11:38:00,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Collision with roadside objects,No priority to vehicle,"Velachery Main Road, Chennai",Slight Injury
11:38:00,Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Overtaking,"OMR, Chennai",Slight Injury
13:30:00,Thursday,18-30,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Rollover,No priority to pedestrian,"Chromepet, Chennai",Slight Injury
13:30:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Daylight,Normal,Vehicle with vehicle collision,No distancing,"Outer Ring Road, Chennai",Slight Injury
12:39:00,Tuesday,18-30,Unknown,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Daylight,Raining,Vehicle with vehicle collision,Changing lane to the right,"Old Mahabalipuram Road, Chennai",Slight Injury
12:39:00,Tuesday,Over 51,Male,Junior high school,,1-2yr,Two-way (divided with broken lines road marking),Daylight,Raining,Vehicle with vehicle collision,Driving carelessly,"Tambaram, Chennai",Slight Injury
12:30:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Daylight,Normal,Vehicle with vehicle collision,Changing lane to the right,"ECR, Chennai",Slight Injury
12:30:00,Friday,31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Daylight,Normal,Vehicle with vehicle collision,Overtaking,"GST Road, Chennai",Slight Injury
16:55:00,Sunday,31-50,Male,,,,Two-way (divided with broken lines road marking),Daylight,Normal,Collision with roadside objects,Other,"Alandur, Chennai",Slight Injury
16:55:00,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Driving to the left,"Rajiv Gandhi Salai, Chennai",Slight Injury
18:25:00,Monday,Unknown,Female,Junior high school,Employee,5-10yr,One way,Daylight,Normal,Vehicle with vehicle collision,Driving at high speed,"Poonamallee High Road, Chennai",Slight Injury
18:25:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Collision with roadside objects,Unknown,"Porur, Chennai",Slight Injury
13:01:00,Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Undivided Two way,Daylight,Normal,Collision with roadside objects,Changing lane to the right,"Velachery Main Road, Chennai",Slight Injury
13:01:00,Thursday,18-30,Male,Junior high school,Owner,Above 10yr,other,Daylight,Normal,Vehicle with vehicle collision,No distancing,"OMR, Chennai",Slight Injury
13:45:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Other,"Chromepet, Chennai",Slight Injury
13:45:00,Wednesday,31-50,Male,Elementary school,Other,5-10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,No priority to vehicle,"Outer Ring Road, Chennai",Slight Injury
18:45:00,Monday,18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the left,"Old Mahabalipuram Road, Chennai",Slight Injury
18:45:00,Monday,31-50,Male,Junior high school,Unknown,5-10yr,Double carriageway (median),Darkness - lights lit,Normal,Collision with roadside objects,No priority to pedestrian,"Tambaram, Chennai",Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Overtaking,"ECR, Chennai",Slight Injury
11:02:00,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Driving carelessly,"GST Road, Chennai",Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,,Below 1yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,No priority to vehicle,"Alandur, Chennai",Slight Injury
11:02:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Daylight,Normal,Vehicle with vehicle collision,No priority to pedestrian,"Rajiv Gandhi Salai, Chennai",Slight Injury
15:55:00,Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Changing lane to the right,"Poonamallee High Road, Chennai",Serious Injury
15:00:00,Wednesday,Over 51,Unknown,,Unknown,,other,Daylight,Normal,Vehicle with vehicle collision,Driving carelessly,"Porur, Chennai",Slight Injury
20:00:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Collision with roadside objects,Changing lane to the right,"Velachery Main Road, Chennai",Slight Injury
20:00:00,Sunday,Under 18,Male,High school,Owner,2-5yr,Undivided Two way,Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the right,"OMR, Chennai",Slight Injury
18:48:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Darkness - lights lit,Normal,Collision with pedestrians,Changing lane to the left,"Chromepet, Chennai",Serious Injury
18:48:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Darkness - lights lit,Normal,Collision with roadside objects,Overturning,"Outer Ring Road, Chennai",Serious Injury
15:55:00,Sunday,Over 51,Male,Above high school,Owner,2-5yr,Undivided Two way,Daylight,Normal,Collision with roadside objects,Driving carelessly,"Old Mahabalipuram Road, Chennai",Slight Injury
15:55:00,Sunday,Over 51,Male,,Unknown,,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,No distancing,"Tambaram, Chennai",Slight Injury
23:25:00,Wednesday,Over 51,Unknown,Elementary school,Owner,2-5yr,other,Darkness - lights lit,Normal,Rollover,Driving carelessly,"100 Feet Road, Anna Nagar",Slight Injury
23:25:00,Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the left,"Nungambakkam, Chennai",Slight Injury
23:25:00,Wednesday,31-50,Male,,Owner,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,No priority to vehicle,"Mount Road, Chennai",Slight Injury
07:40:00,Monday,18-30,Unknown,Junior high school,Employee,Below 1yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Changing lane to the right,"T Nagar, Chennai",Serious Injury
07:40:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Daylight,Normal,Vehicle with vehicle collision,No distancing,"GST Road, Chennai",Serious Injury
15:17:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Daylight,Normal,Vehicle with vehicle collision,Moving Backward,"Chromepet, Chennai",Fatal injury
15:17:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Moving Backward,"Outer Ring Road, Chennai",Fatal injury
15:50:00,Monday,18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,No distancing,"Old Mahabalipuram Road, Chennai",Slight Injury
15:50:00,Monday,18-30,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,No distancing,"Tambaram, Chennai",Slight Injury
09:45:00,Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Daylight,Normal,Collision with roadside objects,No distancing,"Rajiv Gandhi Salai, Chennai",Slight Injury
09:45:00,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Daylight,Normal,Vehicle with vehicle collision,No priority to pedestrian,"Poonamallee High Road, Chennai",Slight Injury
17:35:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Daylight,Normal,Vehicle with vehicle collision,Driving carelessly,"Porur, Chennai",Slight Injury
17:35:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Changing lane to the right,"Velachery Main Road, Chennai",Slight Injury
17:35:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Changing lane to the left,"OMR, Chennai",Slight Injury
20:50:00,Sunday,18-30,Unknown,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Collision with pedestrians,Driving carelessly,"Alandur, Chennai",Slight Injury
20:50:00,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Driving carelessly,"GST Road, Chennai",Slight Injury
21:32:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,No distancing,"Old Mahabalipuram Road, Chennai",Slight Injury
21:32:00,Thursday,31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,"Tambaram, Chennai",Slight Injury
19:55:00,Monday,18-30,Male,,Employee,,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the right,"100 Feet Road, Anna Nagar",Slight Injury
19:55:00,Monday,18-30,Male,,Employee,2-5yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the right,"Nungambakkam, Chennai",Slight Injury
16:10:00,Monday,18-30,Male,Elementary school,Employee,5-10yr,,Daylight,Normal,Vehicle with vehicle collision,No distancing,"Mount Road, Chennai",Slight Injury
16:10:00,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Collision with roadside objects,No distancing,"T Nagar, Chennai",Slight Injury
15:25:00,Monday,31-50,Unknown,Junior high school,Employee,Above 10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Overturning,"Rajiv Gandhi Salai, Chennai",Slight Injury
23:36:00,Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,Darkness - no lighting,Normal,Vehicle with vehicle collision,Driving at high speed,"Kamarajar Salai, Chennai",Serious Injury
23:36:00,Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,One way,Darkness - no lighting,Normal,Vehicle with vehicle collision,No priority to vehicle,"Thirumangalam, Chennai",Serious Injury
23:36:00,Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Darkness - no lighting,Normal,Vehicle with vehicle collision,No priority to pedestrian,"GST Road, Chennai",Serious Injury
23:36:00,Thursday,Under 18,Male,Elementary school,Employee,5-10yr,One way,Darkness - no lighting,Normal,Vehicle with vehicle collision,No priority to vehicle,"Poonamallee High Road, Chennai",Serious Injury
20:00:00,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Darkness - lights unlit,Normal,Vehicle with vehicle collision,Other,"Porur, Chennai",Slight Injury
20:00:00,Monday,31-50,Unknown,Elementary school,Employee,5-10yr,Double carriageway (median),Darkness - lights unlit,Normal,Vehicle with vehicle collision,Other,"Velachery Main Road, Chennai",Slight Injury
20:00:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Unknown,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Moving Backward,"OMR, Chennai",Slight Injury
17:54:00,Friday,18-30,Male,Elementary school,Employee,2-5yr,,Daylight,Normal,Rollover,No distancing,"Chromepet, Chennai",Slight Injury
17:54:00,Friday,31-50,Male,Elementary school,Employee,5-10yr,other,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,"Outer Ring Road, Chennai",Slight Injury
18:04:00,Monday,31-50,Unknown,,Unknown,5-10yr,,Daylight,Normal,Vehicle with vehicle collision,No priority to vehicle,"Old Mahabalipuram Road, Chennai",Slight Injury
17:00:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,One way,Daylight,Normal,Vehicle with vehicle collision,Driving carelessly,"Tambaram, Chennai",Slight Injury
01:15:00,Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Undivided Two way,Darkness - lights lit,Normal,Collision with roadside objects,No distancing,"ECR, Chennai",Slight Injury
01:15:00,Saturday,18-30,Unknown,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,"GST Road, Chennai",Slight Injury
01:15:00,Saturday,18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,Changing lane to the right,"Alandur, Chennai",Slight Injury
01:15:00,Saturday,18-30,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Vehicle with vehicle collision,No distancing,"Rajiv Gandhi Salai, Chennai",Slight Injury
18:30:00,Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Raining,Collision with roadside objects,Driving carelessly,"Mount Road, Chennai",Slight Injury
18:30:00,Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,other,Darkness - lights lit,Raining,Vehicle with vehicle collision,No distancing,"Vadapalani, Chennai",Slight Injury
15:52:00,Friday,18-30,Male,Elementary school,Employee,2-5yr,other,Daylight,Normal,Vehicle with vehicle collision,No priority to vehicle,"Thirumangalam High Road, Chennai",Slight Injury
15:52:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Changing lane to the right,"Perambur, Chennai",Slight Injury
15:52:00,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,No priority to pedestrian,"GST Road, Chennai",Slight Injury
12:33:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,other,Daylight,Normal,Collision with roadside objects,No priority to vehicle,"Old Mahabalipuram Road, Chennai",Serious Injury
08:59:00,Monday,Under 18,Unknown,Elementary school,Employee,5-10yr,other,Daylight,Normal,Vehicle with vehicle collision,Changing lane to the left,"Tambaram, Chennai",Slight Injury
08:59:00,Monday,Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,Turnover,"ECR, Chennai",Slight Injury
17:25:00,Saturday,31-50,Male,Elementary school,Employee,1-2yr,other,Daylight,Normal,Vehicle with vehicle collision,Driving to the left,"OMR, Chennai",Slight Injury
00:53:00,Sunday,18-30,Male,Elementary school,Employee,,Undivided Two way,Darkness - lights lit,Normal,Vehicle with vehicle collision,Driving carelessly,"Alandur, Chennai",Slight Injury
00:53:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Darkness - lights lit,Normal,Vehicle with vehicle collision,Driving to the left,"Vadapalani, Chennai",Slight Injury
00:53:00,Sunday,18-30,Male,,Employee,5-10yr,Double carriageway (median),Darkness - lights lit,Normal,Collision with pedestrians,Driving carelessly,"Thirumangalam High Road, Chennai",Slight Injury
15:20:00,Wednesday,31-50,Male,Elementary school,Owner,1-2yr,other,Daylight,Normal,Vehicle with vehicle collision,No priority to pedestrian,"Perambur, Chennai",Slight Injury
18:23:00,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Raining,Vehicle with vehicle collision,Driving carelessly,"GST Road, Chennai",Slight Injury
18:23:00,Saturday,18-30,Male,Junior high school,Employee,2-5yr,other,Darkness - lights lit,Raining,Collision with roadside objects,Changing lane to the right,"Old Mahabalipuram Road, Chennai",Slight Injury
05:24:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,other,Darkness - no lighting,Normal,Vehicle with vehicle collision,Moving Backward,"Tambaram, Chennai",Serious Injury
12:15:00,Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Daylight,Normal,Vehicle with vehicle collision,Driving carelessly,"ECR, Chennai",Slight Injury
22:15:00,Friday,31-50,Male,Junior high school,Owner,Below 1yr,other,Darkness - lights lit,Normal,Collision with pedestrians,Changing lane to the right,"GST Road, Chennai",Slight Injury
06:35:00,Friday,31-50,Male,High school,Employee,Below 1yr,Undivided Two way,Darkness - lights lit,Raining,Vehicle with vehicle collision,Driving carelessly,"Alandur, Chennai",Serious Injury
06:35:00,Friday,31-50,Male,Junior high school,Employee,,Undivided Two way,Darkness - lights lit,Raining,Vehicle with vehicle collision,Driving carelessly,"Rajiv Gandhi Salai, Chennai",Serious Injury
17:34:00,Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Normal,Collision with pedestrians,Driving carelessly,"Poonamallee High Road, Chennai",Serious Injury
17:34:00,Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,Darkness - lights lit,Normal,Collision with pedestrians,Changing lane to the right,"Porur, Chennai",Serious Injury
04:00:00,Friday,18-30,Unknown,Junior high school,Employee,2-5yr,Double carriageway (median),Darkness - lights lit,Raining,Collision with pedestrians,Changing lane to the right,"Velachery Main Road, Chennai",Slight Injury
04:00:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,other,Darkness - lights lit,Raining,Collision with roadside objects,Driving carelessly,"OMR, Chennai",Slight Injury
04:00:00,Friday,18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Raining,Vehicle with vehicle collision,Overtaking,"Chromepet, Chennai",Slight Injury
04:00:00,Friday,18-30,Unknown,,Owner,5-10yr,Two-way (divided with broken lines road marking),Darkness - lights lit,Raining,Vehicle with vehicle collision,Changing lane to the right,"Outer Ring Road, Chennai",Slight Injury
15:50:00,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Daylight,Normal,Vehicle with vehicle collision,No distancing,"Old Mahabalipuram Road, Chennai",Slight Injury
